feature,importance
AQI_poly_diff_1h,2.3525913
AQI_poly_diff_24h,0.8415033
PM_total,0.6619947
dow_cos,0.6450116
PM2.5,0.64481306
Toluene,0.600225
Xylene_mask,0.5989054
Benzene_mask,0.5982807
Xylene,0.59764796
AQI_poly_lag_24h,0.59077966
NO2,0.5770629
AQI_poly_rmean_168h,0.5594263
NOx_ratio,0.5592573
NO2_mask,0.5592012
is_winter_smog,0.55747896
NH3_mask,0.5560017
AQI_poly_rmean_72h,0.5479651
AQI_poly_rstd_6h,0.5459593
AQI_poly_rmean_24h,0.53440815
SO2_mask,0.52848184
AQI_poly_lag_168h,0.52832836
doy_sin,0.5263014
n_sensors_ok,0.5250888
AQI_poly_lag_12h,0.52475226
AQI_poly_rstd_72h,0.5219523
SO2,0.5180279
AQI_poly_rstd_24h,0.51325047
AQI_poly_rmean_48h,0.5128275
AQI_poly_lag_6h,0.51202637
CO,0.50993264
AQI_poly_lag_3h,0.5096984
AQI_poly_rstd_12h,0.50809747
O3_mask,0.50127476
PM10_mask,0.5010225
dow_sin,0.49890172
AQI_poly_rstd_48h,0.49751228
NOx_mask,0.49543747
PM_ratio,0.49540856
Benzene,0.4948795
month_sin,0.4937697
Toluene_mask,0.4903918
PM2.5_mask,0.48752353
is_festive,0.48715514
NO,0.48474187
doy_cos,0.48334154
AQI_poly_rmean_12h,0.48305836
NO_mask,0.47377163
oxidant_idx,0.47227353
is_weekend,0.46641433
PM10,0.45915484
AQI_poly_lag_1h,0.45632178
O3,0.45339194
is_monsoon,0.45264015
CO_mask,0.45156989
AQI_poly_lag_48h,0.44935507
hour_cos,0.44723633
AQI_poly_rmean_6h,0.4234469
month_cos,0.41297433
hour_sin,0.4124652
BT_ratio,0.40784073
AQI_poly_rstd_168h,0.40160552
NOx,0.39995614
AQI_poly_lag_2h,0.39249122
NH3,0.38798174
