city,MAE,RMSE,R2,n,horizon
Ahmedabad,30.945999145507812,45.854000091552734,0.89,4130.0,t+1h
Aizawl,30.670000076293945,33.43899917602539,-1.722,2441.0,t+1h
Amaravati,6.9679999351501465,9.343999862670898,0.863,4130.0,t+1h
Amritsar,12.411999702453613,24.645999908447266,0.683,4130.0,t+1h
Bengaluru,6.913000106811523,8.336000442504883,0.823,4130.0,t+1h
Bhopal,7.980000019073486,10.380000114440918,0.917,4130.0,t+1h
Brajrajnagar,12.817999839782715,16.746999740600586,0.905,4130.0,t+1h
Chandigarh,10.37600040435791,13.152000427246094,0.755,4130.0,t+1h
Chennai,10.204999923706055,12.812999725341797,0.727,4130.0,t+1h
Coimbatore,8.303000450134277,10.871999740600586,0.764,4130.0,t+1h
Delhi,12.967000007629395,18.36199951171875,0.949,4130.0,t+1h
Ernakulam,25.2189998626709,30.371999740600586,-1.709,3613.0,t+1h
Gurugram,11.529000282287598,15.098999977111816,0.928,4130.0,t+1h
Guwahati,12.430999755859375,17.562999725341797,0.977,4130.0,t+1h
Hyderabad,7.599999904632568,9.381999969482422,0.875,4130.0,t+1h
Jaipur,7.011000156402588,9.10099983215332,0.869,4130.0,t+1h
Jorapokhar,11.989999771118164,16.027000427246094,0.839,4130.0,t+1h
Kochi,12.852999687194824,16.25200080871582,0.769,3615.0,t+1h
Kolkata,8.541000366210938,11.475000381469727,0.977,4130.0,t+1h
Lucknow,13.899999618530273,18.136999130249023,0.947,4130.0,t+1h
Mumbai,9.067000389099121,11.567999839782715,0.947,4130.0,t+1h
Patna,12.635000228881836,16.277999877929688,0.936,4130.0,t+1h
Shillong,18.87299919128418,29.48699951171875,0.165,4130.0,t+1h
Talcher,15.986000061035156,20.017000198364258,0.948,4130.0,t+1h
Thiruvananthapuram,5.269999980926514,6.98799991607666,0.887,4130.0,t+1h
Visakhapatnam,7.561999797821045,9.940999984741211,0.938,4130.0,t+1h
Ahmedabad,59.7859992980957,88.69100189208984,0.591,4130.0,t+24h
Aizawl,38.31800079345703,40.888999938964844,-3.084,2441.0,t+24h
Amaravati,12.656000137329102,17.780000686645508,0.495,4130.0,t+24h
Amritsar,26.45800018310547,44.28099822998047,-0.03,4130.0,t+24h
Bengaluru,10.232999801635742,12.621000289916992,0.597,4130.0,t+24h
Bhopal,15.041000366210938,20.863000869750977,0.668,4130.0,t+24h
Brajrajnagar,31.71500015258789,41.755001068115234,0.42,4130.0,t+24h
Chandigarh,21.863000869750977,28.302000045776367,-0.138,4130.0,t+24h
Chennai,24.819000244140625,30.858999252319336,-0.578,4130.0,t+24h
Coimbatore,14.890000343322754,19.81399917602539,0.222,4130.0,t+24h
Delhi,33.891998291015625,45.38399887084961,0.688,4130.0,t+24h
Ernakulam,32.19499969482422,38.19300079345703,-3.288,3613.0,t+24h
Gurugram,26.31100082397461,35.17100143432617,0.605,4130.0,t+24h
Guwahati,32.72100067138672,46.96900177001953,0.836,4130.0,t+24h
Hyderabad,15.428999900817871,21.490999221801758,0.349,4130.0,t+24h
Jaipur,15.95300006866455,20.540000915527344,0.339,4130.0,t+24h
Jorapokhar,24.395999908447266,32.4370002746582,0.333,4130.0,t+24h
Kochi,18.7189998626709,26.062999725341797,0.398,3615.0,t+24h
Kolkata,21.70400047302246,32.28300094604492,0.814,4130.0,t+24h
Lucknow,33.28099822998047,45.00199890136719,0.665,4130.0,t+24h
Mumbai,14.902999877929688,22.29199981689453,0.8,4130.0,t+24h
Patna,30.14299964904785,38.50899887084961,0.627,4130.0,t+24h
Shillong,19.285999298095703,25.360000610351562,0.382,4130.0,t+24h
Talcher,29.81100082397461,39.154998779296875,0.795,4130.0,t+24h
Thiruvananthapuram,8.447999954223633,13.67300033569336,0.571,4130.0,t+24h
Visakhapatnam,19.066999435424805,27.416000366210938,0.526,4130.0,t+24h
Ahmedabad,79.8740005493164,109.72899627685547,0.377,4130.0,t+72h
Aizawl,46.78499984741211,49.435001373291016,-5.268,2441.0,t+72h
Amaravati,19.68600082397461,28.944000244140625,-0.345,4130.0,t+72h
Amritsar,39.948001861572266,61.784000396728516,-0.999,4130.0,t+72h
Bengaluru,13.595999717712402,17.906999588012695,0.186,4130.0,t+72h
Bhopal,21.089000701904297,29.575000762939453,0.334,4130.0,t+72h
Brajrajnagar,49.46099853515625,65.74099731445312,-0.406,4130.0,t+72h
Chandigarh,36.659000396728516,48.0369987487793,-2.289,4130.0,t+72h
Chennai,39.777000427246094,48.88600158691406,-2.913,4130.0,t+72h
Coimbatore,20.986000061035156,29.405000686645508,-0.685,4130.0,t+72h
Delhi,59.9640007019043,82.4540023803711,-0.032,4130.0,t+72h
Ernakulam,42.40399932861328,58.37799835205078,-8.837,3613.0,t+72h
Gurugram,38.29999923706055,53.132999420166016,0.099,4130.0,t+72h
Guwahati,49.46799850463867,73.30000305175781,0.595,4130.0,t+72h
Hyderabad,25.64900016784668,36.801998138427734,-0.914,4130.0,t+72h
Jaipur,22.466999053955078,27.753000259399414,-0.192,4130.0,t+72h
Jorapokhar,35.65399932861328,47.584999084472656,-0.493,4130.0,t+72h
Kochi,26.638999938964844,37.07600021362305,-0.296,3615.0,t+72h
Kolkata,35.90599822998047,53.61600112915039,0.486,4130.0,t+72h
Lucknow,51.02899932861328,67.21700286865234,0.252,4130.0,t+72h
Mumbai,21.417999267578125,32.85200119018555,0.569,4130.0,t+72h
Patna,49.417999267578125,63.02899932861328,-0.02,4130.0,t+72h
Shillong,20.878000259399414,28.381999969482422,0.217,4130.0,t+72h
Talcher,45.50899887084961,63.558998107910156,0.448,4130.0,t+72h
Thiruvananthapuram,10.10099983215332,15.918999671936035,0.424,4130.0,t+72h
Visakhapatnam,28.948999404907227,42.03900146484375,-0.133,4130.0,t+72h
